PRODID,HOUR,PRICE,BID
1,1,20,0.06
1,2,14,0.06
1,3,11,0.06
1,4,8,0.06
1,5,6,0.06
1,6,8,0.06
1,7,13,0.06
1,8,22,0.06
1,9,27,0.06
1,10,35,0.06
1,11,40,0.06
1,12,47,0.06
1,13,48,0.06
1,14,50,0.06
1,15,48,0.06
1,16,48,0.06
1,17,45,0.06
1,18,46,0.06
1,19,46,0.06
1,20,37,0.06
1,21,33,0.06
1,22,30,0.06
1,23,29,0.06
1,0,24,0.06
2,1,20,0.06
2,2,15,0.06
2,3,11,0.06
2,4,9,0.06
2,5,6,0.06
2,6,8,0.06
2,7,13,0.06
2,8,21,0.06
2,9,29,0.06
2,10,35,0.06
2,11,44,0.06
2,12,45,0.06
2,13,49,0.06
2,14,47,0.06
2,15,50,0.06
2,16,47,0.06
2,17,45,0.06
2,18,48,0.06
2,19,43,0.06
2,20,38,0.06
2,21,34,0.06
2,22,30,0.06
2,23,31,0.06
2,0,26,0.06
3,1,17,0.06
3,2,12,0.06
3,3,8,0.06
3,4,7,0.06
3,5,5,0.06
3,6,7,0.06
3,7,11,0.06
3,8,18,0.06
3,9,24,0.06
3,10,29,0.06
3,11,31,0.06
3,12,35,0.06
3,13,37,0.06
3,14,35,0.06
3,15,40,0.06
3,16,33,0.06
3,17,36,0.06
3,18,37,0.06
3,19,35,0.06
3,20,27,0.06
3,21,23,0.06
3,22,25,0.06
3,23,21,0.06
3,0,19,0.06
