PRODID,HOUR,PRICE,BID
1,1,37,0.06
1,2,26,0.06
1,3,20,0.06
1,4,15,0.06
1,5,11,0.06
1,6,15,0.06
1,7,24,0.06
1,8,39,0.06
1,9,50,0.06
1,10,64,0.06
1,11,72,0.06
1,12,85,0.06
1,13,86,0.06
1,14,90,0.06
1,15,88,0.06
1,16,86,0.06
1,17,81,0.06
1,18,83,0.06
1,19,83,0.06
1,20,67,0.06
1,21,59,0.06
1,22,55,0.06
1,23,53,0.06
1,0,43,0.06
2,1,36,0.06
2,2,27,0.06
2,3,21,0.06
2,4,16,0.06
2,5,12,0.06
2,6,15,0.06
2,7,25,0.06
2,8,37,0.06
2,9,53,0.06
2,10,64,0.06
2,11,80,0.06
2,12,82,0.06
2,13,89,0.06
2,14,84,0.06
2,15,90,0.06
2,16,86,0.06
2,17,81,0.06
2,18,86,0.06
2,19,78,0.06
2,20,68,0.06
2,21,61,0.06
2,22,55,0.06
2,23,57,0.06
2,0,47,0.06
3,1,39,0.06
3,2,27,0.06
3,3,19,0.06
3,4,16,0.06
3,5,12,0.06
3,6,17,0.06
3,7,26,0.06
3,8,41,0.06
3,9,54,0.06
3,10,65,0.06
3,11,70,0.06
3,12,80,0.06
3,13,84,0.06
3,14,78,0.06
3,15,90,0.06
3,16,74,0.06
3,17,81,0.06
3,18,84,0.06
3,19,79,0.06
3,20,61,0.06
3,21,51,0.06
3,22,58,0.06
3,23,48,0.06
3,0,44,0.06
