PRODID,HOUR,PRICE,BID
1,1,29,0.06
1,2,20,0.06
1,3,16,0.06
1,4,12,0.06
1,5,9,0.06
1,6,12,0.06
1,7,19,0.06
1,8,31,0.06
1,9,39,0.06
1,10,50,0.06
1,11,56,0.06
1,12,66,0.06
1,13,67,0.06
1,14,70,0.06
1,15,68,0.06
1,16,67,0.06
1,17,63,0.06
1,18,65,0.06
1,19,64,0.06
1,20,52,0.06
1,21,46,0.06
1,22,43,0.06
1,23,41,0.06
1,0,33,0.06
2,1,28,0.06
2,2,21,0.06
2,3,16,0.06
2,4,12,0.06
2,5,9,0.06
2,6,11,0.06
2,7,19,0.06
2,8,29,0.06
2,9,41,0.06
2,10,50,0.06
2,11,62,0.06
2,12,64,0.06
2,13,69,0.06
2,14,65,0.06
2,15,70,0.06
2,16,66,0.06
2,17,63,0.06
2,18,67,0.06
2,19,61,0.06
2,20,53,0.06
2,21,47,0.06
2,22,43,0.06
2,23,44,0.06
2,0,37,0.06
3,1,26,0.06
3,2,18,0.06
3,3,13,0.06
3,4,10,0.06
3,5,8,0.06
3,6,11,0.06
3,7,17,0.06
3,8,27,0.06
3,9,36,0.06
3,10,43,0.06
3,11,47,0.06
3,12,53,0.06
3,13,56,0.06
3,14,52,0.06
3,15,60,0.06
3,16,49,0.06
3,17,54,0.06
3,18,56,0.06
3,19,52,0.06
3,20,41,0.06
3,21,34,0.06
3,22,38,0.06
3,23,32,0.06
3,0,29,0.06
