PRODID,HOUR,PRICE,BID
1,1,33,0.06
1,2,23,0.06
1,3,18,0.06
1,4,14,0.06
1,5,10,0.06
1,6,13,0.06
1,7,21,0.06
1,8,35,0.06
1,9,44,0.06
1,10,57,0.06
1,11,64,0.06
1,12,75,0.06
1,13,77,0.06
1,14,80,0.06
1,15,78,0.06
1,16,76,0.06
1,17,72,0.06
1,18,74,0.06
1,19,73,0.06
1,20,60,0.06
1,21,52,0.06
1,22,49,0.06
1,23,47,0.06
1,0,38,0.06
2,1,32,0.06
2,2,24,0.06
2,3,19,0.06
2,4,14,0.06
2,5,11,0.06
2,6,13,0.06
2,7,22,0.06
2,8,33,0.06
2,9,47,0.06
2,10,57,0.06
2,11,71,0.06
2,12,73,0.06
2,13,79,0.06
2,14,75,0.06
2,15,80,0.06
2,16,76,0.06
2,17,72,0.06
2,18,77,0.06
2,19,70,0.06
2,20,61,0.06
2,21,54,0.06
2,22,49,0.06
2,23,50,0.06
2,0,42,0.06
3,1,35,0.06
3,2,24,0.06
3,3,17,0.06
3,4,14,0.06
3,5,11,0.06
3,6,15,0.06
3,7,23,0.06
3,8,37,0.06
3,9,48,0.06
3,10,58,0.06
3,11,62,0.06
3,12,71,0.06
3,13,74,0.06
3,14,70,0.06
3,15,80,0.06
3,16,66,0.06
3,17,72,0.06
3,18,74,0.06
3,19,70,0.06
3,20,54,0.06
3,21,46,0.06
3,22,51,0.06
3,23,43,0.06
3,0,39,0.06
