PRODID,HOUR,PRICE,BID
1,1,41,0.06
1,2,29,0.06
1,3,23,0.06
1,4,17,0.06
1,5,13,0.06
1,6,17,0.06
1,7,27,0.06
1,8,44,0.06
1,9,55,0.06
1,10,71,0.06
1,11,80,0.06
1,12,94,0.06
1,13,96,0.06
1,14,100,0.06
1,15,97,0.06
1,16,96,0.06
1,17,91,0.06
1,18,93,0.06
1,19,92,0.06
1,20,75,0.06
1,21,66,0.06
1,22,61,0.06
1,23,59,0.06
1,0,48,0.06
2,1,40,0.06
2,2,30,0.06
2,3,23,0.06
2,4,18,0.06
2,5,13,0.06
2,6,16,0.06
2,7,27,0.06
2,8,42,0.06
2,9,59,0.06
2,10,71,0.06
2,11,89,0.06
2,12,91,0.06
2,13,99,0.06
2,14,94,0.06
2,15,100,0.06
2,16,95,0.06
2,17,90,0.06
2,18,96,0.06
2,19,87,0.06
2,20,76,0.06
2,21,68,0.06
2,22,61,0.06
2,23,63,0.06
2,0,53,0.06
3,1,44,0.06
3,2,30,0.06
3,3,22,0.06
3,4,17,0.06
3,5,14,0.06
3,6,19,0.06
3,7,28,0.06
3,8,46,0.06
3,9,60,0.06
3,10,72,0.06
3,11,78,0.06
3,12,89,0.06
3,13,93,0.06
3,14,87,0.06
3,15,100,0.06
3,16,83,0.06
3,17,90,0.06
3,18,93,0.06
3,19,87,0.06
3,20,68,0.06
3,21,57,0.06
3,22,64,0.06
3,23,53,0.06
3,0,49,0.06
