PRODID,HOUR,PRICE,BID
1,1,131,13.617092818084423
1,2,51,9.552288991790565
1,3,28,7.11340669601425
1,4,37,7.519887078643637
1,5,40,6.097205739440787
1,6,404,22.762901427245605
1,7,1251,21.340220088042752
1,8,1776,17.072176070434203
1,9,1696,15.330117287736835
2,1,130,23.575862192504374
2,2,51,16.665695687804817
2,3,37,16.86893587911951
2,4,19,11.584690904937494
2,5,50,23.372622001189683
2,6,361,50.81004782867322
2,7,1179,37.39619520190349
2,8,1617,34.144352140868406
2,9,1690,30.66023457547367
3,1,129,44.10312151528835
3,2,50,22.55966123593091
3,3,28,18.494857409637053
3,4,25,14.430053583343195
3,5,38,18.088377027007667
3,6,411,55.891052611540545
3,7,1090,76.41831193432452
3,8,1868,91.86456647424117
3,9,1871,77.73937317787002
