PRODID,HOUR,PRICE,BID
1,1,20,0.06
1,2,14,0.06
1,3,11,0.06
1,4,8,0.06
1,5,6,0.06
1,6,8,0.06
1,7,13,0.06
1,8,22,0.06
1,9,27,0.06
1,10,35,0.06
1,11,40,0.06
1,12,47,0.06
1,13,48,0.06
1,14,50,0.06
1,15,48,0.06
1,16,48,0.06
1,17,45,0.06
1,18,46,0.06
1,19,46,0.06
1,20,37,0.06
1,21,33,0.06
1,22,30,0.06
1,23,29,0.06
1,0,24,0.06
2,1,16,0.06
2,2,12,0.06
2,3,9,0.06
2,4,7,0.06
2,5,5,0.06
2,6,6,0.06
2,7,11,0.06
2,8,16,0.06
2,9,23,0.06
2,10,28,0.06
2,11,35,0.06
2,12,36,0.06
2,13,39,0.06
2,14,37,0.06
2,15,40,0.06
2,16,38,0.06
2,17,36,0.06
2,18,38,0.06
2,19,35,0.06
2,20,30,0.06
2,21,27,0.06
2,22,24,0.06
2,23,25,0.06
2,0,21,0.06
3,1,13,0.06
3,2,9,0.06
3,3,6,0.06
3,4,5,0.06
3,5,4,0.06
3,6,5,0.06
3,7,8,0.06
3,8,13,0.06
3,9,18,0.06
3,10,21,0.06
3,11,23,0.06
3,12,26,0.06
3,13,28,0.06
3,14,26,0.06
3,15,30,0.06
3,16,24,0.06
3,17,27,0.06
3,18,28,0.06
3,19,26,0.06
3,20,20,0.06
3,21,17,0.06
3,22,19,0.06
3,23,16,0.06
3,0,14,0.06
