PRODID,HOUR,PRICE,BID
1,1,20,0.06
1,2,14,0.06
1,3,11,0.06
1,4,9,0.06
1,5,6,0.06
1,6,8,0.06
1,7,13,0.06
1,8,21,0.06
1,9,27,0.06
1,10,35,0.06
1,11,41,0.06
1,12,46,0.06
1,13,47,0.06
1,14,50,0.06
1,15,47,0.06
1,16,47,0.06
1,17,46,0.06
1,18,46,0.06
1,19,44,0.06
1,20,37,0.06
1,21,32,0.06
1,22,30,0.06
1,23,29,0.06
1,0,24,0.06
2,1,9,0.06
2,2,7,0.06
2,3,6,0.06
2,4,4,0.06
2,5,3,0.06
2,6,4,0.06
2,7,6,0.06
2,8,10,0.06
2,9,14,0.06
2,10,18,0.06
2,11,21,0.06
2,12,23,0.06
2,13,24,0.06
2,14,24,0.06
2,15,24,0.06
2,16,23,0.06
2,17,23,0.06
2,18,25,0.06
2,19,22,0.06
2,20,18,0.06
2,21,17,0.06
2,22,15,0.06
2,23,15,0.06
2,0,13,0.06
3,1,2,0.06
3,2,1,0.06
3,3,1,0.06
3,4,0,0.06
3,5,0,0.06
3,6,0,0.06
3,7,1,0.06
3,8,2,0.06
3,9,2,0.06
3,10,3,0.06
3,11,3,0.06
3,12,4,0.06
3,13,4,0.06
3,14,4,0.06
3,15,5,0.06
3,16,4,0.06
3,17,4,0.06
3,18,4,0.06
3,19,4,0.06
3,20,3,0.06
3,21,2,0.06
3,22,3,0.06
3,23,2,0.06
3,0,2,0.06
