PRODID,HOUR,PRICE,BID
1,1,958,0.06
1,2,477,0.06
1,3,290,0.06
1,4,172,0.06
1,5,91,0.06
1,6,158,0.06
1,7,403,0.06
1,8,1086,0.06
1,9,1717,0.06
1,10,2850,0.06
1,11,3626,0.06
1,12,4986,0.06
1,13,5201,0.06
1,14,5600,0.06
1,15,5348,0.06
1,16,5111,0.06
1,17,4590,0.06
1,18,4820,0.06
1,19,4714,0.06
1,20,3153,0.06
1,21,2405,0.06
1,22,2114,0.06
1,23,1954,0.06
1,0,1278,0.06
2,1,908,0.06
2,2,515,0.06
2,3,318,0.06
2,4,181,0.06
2,5,106,0.06
2,6,153,0.06
2,7,430,0.06
2,8,974,0.06
2,9,1955,0.06
2,10,2852,0.06
2,11,4434,0.06
2,12,4677,0.06
2,13,5479,0.06
2,14,4940,0.06
2,15,5600,0.06
2,16,5084,0.06
2,17,4580,0.06
2,18,5198,0.06
2,19,4290,0.06
2,20,3271,0.06
2,21,2571,0.06
2,22,2108,0.06
2,23,2228,0.06
2,0,1563,0.06
3,1,925,0.06
3,2,432,0.06
3,3,225,0.06
3,4,150,0.06
3,5,94,0.06
3,6,175,0.06
3,7,398,0.06
3,8,1034,0.06
3,9,1744,0.06
3,10,2533,0.06
3,11,2922,0.06
3,12,3802,0.06
3,13,4157,0.06
3,14,3685,0.06
3,15,4800,0.06
3,16,3290,0.06
3,17,3922,0.06
3,18,4149,0.06
3,19,3688,0.06
3,20,2214,0.06
3,21,1587,0.06
3,22,1975,0.06
3,23,1390,0.06
3,0,1156,0.06
