PRODID,HOUR,PRICE,BID
1,1,1,0.06
1,2,1,0.06
1,3,1,0.06
1,4,1,0.06
1,5,1,0.06
1,6,1,0.06
1,7,1,0.06
1,8,1,0.06
1,9,1,0.06
1,10,1,0.06
1,11,1,0.06
1,12,1,0.06
1,13,1,0.06
1,14,1,0.06
1,15,1,0.06
1,16,1,0.06
1,17,1,0.06
1,18,1,0.06
1,19,1,0.06
1,20,1,0.06
1,21,1,0.06
1,22,1,0.06
1,23,1,0.06
1,0,1,0.06
2,1,1,0.06
2,2,1,0.06
2,3,1,0.06
2,4,1,0.06
2,5,1,0.06
2,6,1,0.06
2,7,1,0.06
2,8,1,0.06
2,9,1,0.06
2,10,1,0.06
2,11,1,0.06
2,12,1,0.06
2,13,1,0.06
2,14,1,0.06
2,15,1,0.06
2,16,1,0.06
2,17,1,0.06
2,18,1,0.06
2,19,1,0.06
2,20,1,0.06
2,21,1,0.06
2,22,1,0.06
2,23,1,0.06
2,0,1,0.06
3,1,1,0.06
3,2,1,0.06
3,3,1,0.06
3,4,1,0.06
3,5,1,0.06
3,6,1,0.06
3,7,1,0.06
3,8,1,0.06
3,9,1,0.06
3,10,1,0.06
3,11,1,0.06
3,12,1,0.06
3,13,1,0.06
3,14,1,0.06
3,15,1,0.06
3,16,1,0.06
3,17,1,0.06
3,18,1,0.06
3,19,1,0.06
3,20,1,0.06
3,21,1,0.06
3,22,1,0.06
3,23,1,0.06
3,0,1,0.06
