PRODID,HOUR,PRICE,BID
1,1,16,0.06
1,2,10,0.06
1,3,8,0.06
1,4,8,0.06
1,5,9,0.06
1,6,28,0.06
1,7,49,0.06
1,8,58,0.06
1,9,58,0.06
1,10,54,0.06
1,11,50,0.06
1,12,51,0.06
1,13,58,0.06
1,14,60,0.06
1,15,61,0.06
1,16,65,0.06
1,17,68,0.06
1,18,68,0.06
1,19,68,0.06
1,20,70,0.06
1,21,62,0.06
1,22,59,0.06
1,23,46,0.06
1,0,27,0.06
2,1,16,0.06
2,2,10,0.06
2,3,8,0.06
2,4,6,0.06
2,5,9,0.06
2,6,26,0.06
2,7,47,0.06
2,8,55,0.06
2,9,55,0.06
2,10,51,0.06
2,11,49,0.06
2,12,50,0.06
2,13,57,0.06
2,14,57,0.06
2,15,58,0.06
2,16,67,0.06
2,17,66,0.06
2,18,65,0.06
2,19,69,0.06
2,20,70,0.06
2,21,63,0.06
2,22,56,0.06
2,23,48,0.06
2,0,24,0.06
3,1,13,0.06
3,2,8,0.06
3,3,6,0.06
3,4,6,0.06
3,5,7,0.06
3,6,24,0.06
3,7,39,0.06
3,8,51,0.06
3,9,52,0.06
3,10,45,0.06
3,11,42,0.06
3,12,44,0.06
3,13,46,0.06
3,14,48,0.06
3,15,48,0.06
3,16,58,0.06
3,17,51,0.06
3,18,57,0.06
3,19,60,0.06
3,20,53,0.06
3,21,57,0.06
3,22,48,0.06
3,23,41,0.06
3,0,20,0.06
