DATE,HOUR,PRODID,IMPRESSIONS,PREDICTED_IMPRESSIONS
2024-01-26,0,2,253,324.83026
2024-01-26,1,2,125,250.31755
2024-01-26,2,2,132,228.03947
2024-01-26,3,2,110,201.61478
2024-01-26,4,2,155,242.85576
2024-01-26,5,2,449,451.12714
2024-01-26,6,2,776,766.1514
2024-01-26,7,2,905,884.6974
2024-01-26,8,2,993,864.3801
2024-01-26,9,2,965,803.6141
2024-01-26,10,2,756,800.5656
2024-01-26,11,2,872,803.0425
2024-01-26,12,2,980,904.4616
2024-01-26,13,2,824,932.50616
2024-01-26,14,2,902,940.57855
2024-01-26,15,2,979,1085.9061
2024-01-26,16,2,1055,1156.0018
2024-01-26,17,2,1098,988.07697
2024-01-26,18,2,1174,1216.0278
2024-01-26,19,2,1106,1014.0422
2024-01-26,20,2,927,979.42163
2024-01-26,21,2,934,824.97943
2024-01-26,22,2,697,733.77515
2024-01-26,23,2,358,421.9349
2024-01-27,0,2,654,724.3366
2024-01-27,1,2,522,581.02704
2024-01-27,2,2,426,475.49683
2024-01-27,3,2,323,406.3441
2024-01-27,4,2,235,277.4382
2024-01-27,5,2,268,370.3701
2024-01-27,6,2,508,536.41986
2024-01-27,7,2,723,829.7543
2024-01-27,8,2,941,1012.119
2024-01-27,9,2,1116,1177.0005
2024-01-27,10,2,1206,1458.8903
2024-01-27,11,2,1687,1599.3909
2024-01-27,12,2,1405,1694.6882
2024-01-27,13,2,1521,1726.4554
2024-01-27,14,2,1643,1733.2843
2024-01-27,15,2,1539,1447.8997
2024-01-27,16,2,1613,1662.4038
2024-01-27,17,2,1560,1634.6525
2024-01-27,18,2,1401,1301.1058
2024-01-27,19,2,1371,1280.6288
2024-01-27,20,2,1201,1108.1549
2024-01-27,21,2,889,1077.4606
2024-01-27,22,2,1148,1096.6501
2024-01-27,23,2,821,891.9867
2024-01-28,0,2,634,643.7839
2024-01-28,1,2,578,497.75394
2024-01-28,2,2,460,459.57892
2024-01-28,3,2,274,372.92038
2024-01-28,4,2,239,337.49747
2024-01-28,5,2,341,315.8807
2024-01-28,6,2,442,470.18063
2024-01-28,7,2,665,657.74634
2024-01-28,8,2,954,1063.058
2024-01-28,9,2,1210,1160.7776
2024-01-28,10,2,1263,1527.0077
2024-01-28,11,2,1401,1521.5957
2024-01-28,12,2,1550,1690.3722
2024-01-28,13,2,1846,1366.5927
2024-01-28,14,2,1493,1746.8986
2024-01-28,15,2,1461,1637.2837
2024-01-28,16,2,1505,1483.7556
2024-01-28,17,2,1796,1481.7074
2024-01-28,18,2,1471,1565.5927
2024-01-28,19,2,1269,1264.349
2024-01-28,20,2,1202,1183.6742
2024-01-28,21,2,1032,1008.27246
2024-01-28,22,2,861,1070.7405
2024-01-28,23,2,777,879.5198
2024-01-29,0,2,285,329.15448
2024-01-29,1,2,160,231.96587
2024-01-29,2,2,107,236.69107
2024-01-29,3,2,106,200.8449
2024-01-29,4,2,165,241.43092
2024-01-29,5,2,463,476.3838
2024-01-29,6,2,828,769.7574
2024-01-29,7,2,997,855.57166
2024-01-29,8,2,921,897.7435
2024-01-29,9,2,799,901.5821
2024-01-29,10,2,760,764.0646
2024-01-29,11,2,752,723.39343
2024-01-29,12,2,977,874.72723
2024-01-29,13,2,1071,829.7543
2024-01-29,14,2,1043,1033.2708
2024-01-29,15,2,990,1141.6647
2024-01-29,16,2,1126,1049.8491
2024-01-29,17,2,1091,945.769
2024-01-29,18,2,1056,969.8053
2024-01-29,19,2,1085,1033.2708
2024-01-29,20,2,1111,964.03564
2024-01-29,21,2,1014,823.06995
2024-01-29,22,2,648,771.6559
2024-01-29,23,2,419,465.7583
2024-01-30,0,2,269,311.5868
2024-01-30,1,2,151,243.01414
2024-01-30,2,2,111,216.94463
2024-01-30,3,2,94,211.50616
2024-01-30,4,2,155,238.74323
2024-01-30,5,2,456,472.12875
