DATE,HOUR,PRODID,IMPRESSIONS,PREDICTED_IMPRESSIONS
2024-02-02,0,1,,100.374275
2024-02-02,1,1,,81.862564
2024-02-02,2,1,,72.83036
2024-02-02,3,1,,75.07413
2024-02-02,4,1,,78.08067
2024-02-02,5,1,,168.58623
2024-02-02,6,1,,291.14246
2024-02-02,7,1,,373.59827
2024-02-02,8,1,,328.82904
2024-02-02,9,1,,313.69653
2024-02-02,10,1,,292.07828
2024-02-02,11,1,,322.2001
2024-02-02,12,1,,342.12186
2024-02-02,13,1,,404.23383
2024-02-02,14,1,,344.9759
2024-02-02,15,1,,399.44342
2024-02-02,16,1,,399.44342
2024-02-02,17,1,,429.14377
2024-02-02,18,1,,398.4855
2024-02-02,19,1,,398.4855
2024-02-02,20,1,,396.5696
2024-02-02,21,1,,353.54782
2024-02-02,22,1,,276.22137
2024-02-02,23,1,,168.58623
2024-02-03,0,1,,290.207
2024-02-03,1,1,,169.44391
2024-02-03,2,1,,142.39902
2024-02-03,3,1,,134.94824
2024-02-03,4,1,,110.64197
2024-02-03,5,1,,111.4386
2024-02-03,6,1,,182.40042
2024-02-03,7,1,,291.14246
2024-02-03,8,1,,354.50113
2024-02-03,9,1,,466.4336
2024-02-03,10,1,,540.23615
2024-02-03,11,1,,578.354
2024-02-03,12,1,,586.6422
2024-02-03,13,1,,619.47687
2024-02-03,14,1,,647.30914
2024-02-03,15,1,,625.79877
2024-02-03,16,1,,612.22614
2024-02-03,17,1,,543.0438
2024-02-03,18,1,,561.68915
2024-02-03,19,1,,493.08014
2024-02-03,20,1,,370.7304
2024-02-03,21,1,,365.95297
2024-02-03,22,1,,350.6889
2024-02-03,23,1,,309.92462
2024-02-04,0,1,,247.62656
2024-02-04,1,1,,191.13036
2024-02-04,2,1,,126.75401
2024-02-04,3,1,,142.39902
2024-02-04,4,1,,105.09268
2024-02-04,5,1,,131.65976
2024-02-04,6,1,,181.53139
2024-02-04,7,1,,262.32947
2024-02-04,8,1,,365.95297
2024-02-04,9,1,,480.72565
2024-02-04,10,1,,558.9007
2024-02-04,11,1,,558.9007
