DATE,HOUR,PRODID,IMPRESSIONS,PREDICTED_IMPRESSIONS
2024-01-26,0,3,379,613.6432
2024-01-26,1,3,270,470.67416
2024-01-26,2,3,194,424.99545
2024-01-26,3,3,158,411.57492
2024-01-26,4,3,183,454.45538
2024-01-26,5,3,807,863.8448
2024-01-26,6,3,1217,1255.1844
2024-01-26,7,3,1387,1608.6168
2024-01-26,8,3,1402,1629.5634
2024-01-26,9,3,1012,1483.6345
2024-01-26,10,3,1342,1334.8088
2024-01-26,11,3,1016,1476.5072
2024-01-26,12,3,1519,1441.6854
2024-01-26,13,3,1700,1451.6185
2024-01-26,14,3,1202,1564.5234
2024-01-26,15,3,1944,1721.8859
2024-01-26,16,3,1766,1526.4863
2024-01-26,17,3,1353,1461.3706
2024-01-26,18,3,1712,2004.3624
2024-01-26,19,3,1697,1685.48
2024-01-26,20,3,1385,1985.5796
2024-01-26,21,3,1760,1261.6976
2024-01-26,22,3,1029,1514.3574
2024-01-26,23,3,495,749.2979
2024-01-27,0,3,1194,1319.7142
2024-01-27,1,3,828,882.4786
2024-01-27,2,3,658,862.26337
2024-01-27,3,3,507,754.5336
2024-01-27,4,3,355,555.5924
2024-01-27,5,3,372,605.3753
2024-01-27,6,3,683,866.65643
2024-01-27,7,3,1106,1494.4047
2024-01-27,8,3,1596,1328.4915
2024-01-27,9,3,1921,1548.9783
2024-01-27,10,3,2150,2498.7832
2024-01-27,11,3,1968,2378.4216
2024-01-27,12,3,2568,2294.2583
2024-01-27,13,3,2898,2875.1707
2024-01-27,14,3,2097,2753.3562
2024-01-27,15,3,2859,2127.7998
2024-01-27,16,3,3089,2529.0718
2024-01-27,17,3,2804,2271.8147
2024-01-27,18,3,2715,2403.3674
2024-01-27,19,3,1555,1954.8326
2024-01-27,20,3,1379,1643.6168
2024-01-27,21,3,1395,1650.4645
2024-01-27,22,3,1642,1504.8188
2024-01-27,23,3,1453,1498.745
2024-01-28,0,3,1241,1066.7552
2024-01-28,1,3,961,960.85254
2024-01-28,2,3,642,685.77057
2024-01-28,3,3,491,650.247
2024-01-28,4,3,340,632.96344
2024-01-28,5,3,452,695.3212
2024-01-28,6,3,787,858.7497
2024-01-28,7,3,1313,1365.3137
2024-01-28,8,3,1364,1752.555
2024-01-28,9,3,2213,2095.7874
2024-01-28,10,3,1910,2130.9907
2024-01-28,11,3,2636,2236.7803
2024-01-28,12,3,2601,2218.7773
2024-01-28,13,3,2600,2108.6147
2024-01-28,14,3,2534,2671.1128
2024-01-28,15,3,3137,2746.4595
2024-01-28,16,3,2462,2346.8503
2024-01-28,17,3,2277,2691.5005
2024-01-28,18,3,2596,1959.3517
2024-01-28,19,3,1854,1860.0432
2024-01-28,20,3,1646,1532.5463
2024-01-28,21,3,1360,1716.9613
2024-01-28,22,3,1698,1344.2811
2024-01-28,23,3,1573,1568.8375
2024-01-29,0,3,326,675.361
2024-01-29,1,3,314,440.12897
2024-01-29,2,3,164,441.81274
2024-01-29,3,3,224,369.00192
2024-01-29,4,3,288,478.12112
2024-01-29,5,3,659,915.9156
2024-01-29,6,3,1261,1320.592
2024-01-29,7,3,1741,1288.9653
2024-01-29,8,3,1334,1762.6967
2024-01-29,9,3,1253,1262.5776
2024-01-29,10,3,1356,1512.6238
2024-01-29,11,3,1070,1567.9746
2024-01-29,12,3,1177,1878.3593
2024-01-29,13,3,1868,1378.4464
2024-01-29,14,3,1252,1259.9375
2024-01-29,15,3,1488,1726.2983
2024-01-29,16,3,1450,1786.9408
2024-01-29,17,3,1726,1995.3866
2024-01-29,18,3,1533,2030.3983
2024-01-29,19,3,1490,1728.2069
2024-01-29,20,3,1743,1992.1193
2024-01-29,21,3,1630,1436.1057
2024-01-29,22,3,939,1159.4547
2024-01-29,23,3,605,734.4744
2024-01-30,0,3,413,560.5573
2024-01-30,1,3,326,482.86438
2024-01-30,2,3,252,416.77185
2024-01-30,3,3,198,391.5011
2024-01-30,4,3,284,435.24854
2024-01-30,5,3,624,863.3177
2024-01-30,6,3,1069,1393.4929
2024-01-30,7,3,1847,1586.2488
2024-01-30,8,3,1152,1573.8396
2024-01-30,9,3,1382,1336.5632
2024-01-30,10,3,1356,1445.5201
2024-01-30,11,3,1290,1378.9716
2024-01-30,12,3,1615,1541.7164
2024-01-30,13,3,1565,1405.2058
2024-01-30,14,3,1904,1648.0685
2024-01-30,15,3,2008,1572.2875
2024-01-30,16,3,1930,1659.7009
2024-01-30,17,3,1814,1643.9594
2024-01-30,18,3,2168,1991.3024
2024-01-30,19,3,1346,1751.2023
2024-01-30,20,3,1597,1933.0149
2024-01-30,21,3,1307,1445.6943
2024-01-30,22,3,1349,1252.8955
2024-01-30,23,3,753,740.57605
2024-01-31,0,3,478,645.9233
2024-01-31,1,3,256,441.81274
2024-01-31,2,3,147,475.58148
2024-01-31,3,3,131,404.87598
2024-01-31,4,3,238,461.20828
2024-01-31,5,3,717,843.823
2024-01-31,6,3,1075,1088.8306
2024-01-31,7,3,1166,1393.3181
2024-01-31,8,3,1069,1470.0718
2024-01-31,9,3,1442,1470.0718
2024-01-31,10,3,1316,1477.8982
2024-01-31,11,3,1537,1238.8069
2024-01-31,12,3,1325,1357.4293
2024-01-31,13,3,1169,1380.1968
2024-01-31,14,3,1570,1605.0071
2024-01-31,15,3,1737,1862.5436
2024-01-31,16,3,2042,1805.8192
2024-01-31,17,3,1488,1989.6678
2024-01-31,18,3,2081,1510.0226
2024-01-31,19,3,1567,1796.9114
2024-01-31,20,3,2065,1312.6896
2024-01-31,21,3,1289,1401.1859
2024-01-31,22,3,985,1453.5348
2024-01-31,23,3,692,734.4744
2024-02-01,0,3,398,699.6653
2024-02-01,1,3,245,489.9854
2024-02-01,2,3,226,470.50504
2024-02-01,3,3,163,408.22452
2024-02-01,4,3,236,429.1955
2024-02-01,5,3,747,905.3519
2024-02-01,6,3,1225,1428.2559
2024-02-01,7,3,1606,1528.218
2024-02-01,8,3,1410,1464.8517
2024-02-01,9,3,1298,1187.6858
2024-02-01,10,3,1308,1171.8077
2024-02-01,11,3,1319,1409.9233
2024-02-01,12,3,1506,1618.7522
2024-02-01,13,3,1518,1695.7026
2024-02-01,14,3,1499,1558.1353
2024-02-01,15,3,1786,1803.2993
2024-02-01,16,3,1595,1641.0475
2024-02-01,17,3,1534,1588.4879
2024-02-01,18,3,1817,1829.2988
2024-02-01,19,3,1507,1565.3864
2024-02-01,20,3,1463,1527.1791
2024-02-01,21,3,1472,1535.4886
2024-02-01,22,3,1073,1073.0
2024-02-01,23,3,665,665.0
