DATE,HOUR,PRODID,IMPRESSIONS,PREDICTED_IMPRESSIONS
2024-02-02,0,2,,318.43536
2024-02-02,1,2,,216.68765
2024-02-02,2,2,,222.08487
2024-02-02,3,2,,205.1904
2024-02-02,4,2,,239.95915
2024-02-02,5,2,,485.3012
2024-02-02,6,2,,784.276
2024-02-02,7,2,,905.91754
2024-02-02,8,2,,989.2028
2024-02-02,9,2,,962.7019
2024-02-02,10,2,,765.5236
2024-02-02,11,2,,874.7178
2024-02-02,12,2,,976.89984
2024-02-02,13,2,,829.4214
2024-02-02,14,2,,903.07983
2024-02-02,15,2,,975.95337
2024-02-02,16,2,,1047.8223
2024-02-02,17,2,,1088.3839
2024-02-02,18,2,,1159.7706
2024-02-02,19,2,,1095.9185
2024-02-02,20,2,,926.7336
2024-02-02,21,2,,933.3585
2024-02-02,22,2,,710.45526
2024-02-02,23,2,,406.33505
2024-02-03,0,2,,670.6042
2024-02-03,1,2,,550.24884
2024-02-03,2,2,,465.12073
2024-02-03,3,2,,376.62738
2024-02-03,4,2,,303.7503
2024-02-03,5,2,,330.76196
2024-02-03,6,2,,537.69336
2024-02-03,7,2,,734.67236
2024-02-03,8,2,,939.984
2024-02-03,9,2,,1105.3306
2024-02-03,10,2,,1189.6779
2024-02-03,11,2,,1620.5813
2024-02-03,12,2,,1372.8159
2024-02-03,13,2,,1476.6548
2024-02-03,14,2,,1583.0103
2024-02-03,15,2,,1492.5396
2024-02-03,16,2,,1557.1487
2024-02-03,17,2,,1510.9896
2024-02-03,18,2,,1369.1925
2024-02-03,19,2,,1341.9335
2024-02-03,20,2,,1185.0115
2024-02-03,21,2,,890.7858
2024-02-03,22,2,,1135.4006
2024-02-03,23,2,,826.59467
2024-02-04,0,2,,652.1641
2024-02-04,1,2,,600.8989
2024-02-04,2,2,,495.00262
2024-02-04,3,2,,335.71497
2024-02-04,4,2,,307.00345
2024-02-04,5,2,,391.85675
2024-02-04,6,2,,479.14423
2024-02-04,7,2,,680.77295
2024-02-04,8,2,,952.2894
